Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
GSK;Gisikon-Root;2014-01-01;1000;1200.0;SBB;;47.1213263146, 8.39477668629;http://lod.opentransportdata.swiss/didok/8502201
GREL;Grellingen;2014-01-01;1700;2000.0;SBB;;47.4412906001, 7.59198326877;http://lod.opentransportdata.swiss/didok/8500115
GRV;Grandvaux;2014-01-01;520;610.0;CFF;;46.4969419201, 6.72264722367;http://lod.opentransportdata.swiss/didok/8504011
GUEB;Gübsensee;2014-01-01;50;50.0;SOB;;47.3979011244, 9.31675442795;http://lod.opentransportdata.swiss/didok/8506287
FG;Faoug;2014-01-01;130;140.0;CFF;;46.9082315978, 7.07459265792;http://lod.opentransportdata.swiss/didok/8504127
GLA;Gland;2014-01-01;5700;6900.0;CFF;;46.419975355, 6.26913801937;http://lod.opentransportdata.swiss/didok/8501031
GSAG;Emmenbrücke Gersag;2014-01-01;3000;3400.0;SBB;;47.0783132004, 8.27679952708;http://lod.opentransportdata.swiss/didok/8502028
EST;Estavayer-le-Lac;2014-01-01;1200;1400.0;CFF;;46.8444961926, 6.84295890069;http://lod.opentransportdata.swiss/didok/8504132
DOR;Dornach-Arlesheim;2014-01-01;4800;5600.0;SBB;;47.488608339, 7.61110691339;http://lod.opentransportdata.swiss/didok/8500118
ESP;Essert-Pittet;2014-01-01;50;60.0;CFF;;46.7276595753, 6.58065762221;http://lod.opentransportdata.swiss/didok/8501111
ECU;Ecublens-Rue;2014-01-01;90;90.0;CFF;;46.6104179611, 6.81105588343;http://lod.opentransportdata.swiss/didok/8504018
ESB;Eschenbach;2014-01-01;770;880.0;SBB;;47.1323911487, 8.32277893852;http://lod.opentransportdata.swiss/didok/8502022
ESEE;Ermensee;2014-01-01;110;130.0;SBB;;47.2296890898, 8.24230319429;http://lod.opentransportdata.swiss/didok/8502019
EBG;Engelberg;2014-01-01;1800;1600.0;ZB;;46.8195231702, 8.40264298232;http://lod.opentransportdata.swiss/didok/8508399
EP;Ependes;2014-01-01;110;120.0;CFF;;46.7464094417, 6.60765826253;http://lod.opentransportdata.swiss/didok/8501110
ETOY;Etoy;2014-01-01;1200;1500.0;CFF;;46.4751599503, 6.42713908598;http://lod.opentransportdata.swiss/didok/8501042
DSB;Diesbach-Betschwanden;2014-01-01;120;130.0;SBB;;46.9461769693, 9.02436242331;http://lod.opentransportdata.swiss/didok/8503237
CS;Corcelles-Sud;2014-01-01;160;190.0;CFF;;46.8288436102, 6.9571860007;http://lod.opentransportdata.swiss/didok/8504135
CORM;Cormoret;2014-01-01;70;80.0;CFF;;47.1729358067, 7.05412061848;http://lod.opentransportdata.swiss/didok/8504308
CO;Cortébert;2014-01-01;170;190.0;CFF;;47.1893284366, 7.10729623806;http://lod.opentransportdata.swiss/didok/8504306
CG;Courgenay;2014-01-01;700;790.0;CFF;;47.4052177358, 7.12419139803;http://lod.opentransportdata.swiss/didok/8500125
COUS;Cousset;2014-01-01;150;180.0;CFF;;46.8186006837, 6.97748421108;http://lod.opentransportdata.swiss/didok/8504136
COT;Cottens;2014-01-01;400;520.0;CFF;;46.7512079019, 7.03479684592;http://lod.opentransportdata.swiss/didok/8504026
DAL;Dallenwil;2014-01-01;550;560.0;ZB;;46.9337794802, 8.39205809023;http://lod.opentransportdata.swiss/didok/8508392
DN;Deitingen;2014-01-01;550;640.0;SBB;;47.218217892, 7.61889907416;http://lod.opentransportdata.swiss/didok/8500209
DK;Däniken;2014-01-01;750;930.0;SBB;;47.356386391, 7.97875336334;http://lod.opentransportdata.swiss/didok/8502111
KE;Kemptthal;2014-01-01;600;690.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.452833265, 8.70557069755;http://lod.opentransportdata.swiss/didok/8503304
KNO;Knonau;2014-01-01;980;1100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2202591199, 8.4667085831;http://lod.opentransportdata.swiss/didok/8502226
KLW;Killwangen-Spreitenbach;2014-01-01;3600;4200.0;SBB;;47.433328238, 8.35419430986;http://lod.opentransportdata.swiss/didok/8503506
KLI;Klingnau;2014-01-01;540;650.0;SBB;;47.5820892736, 8.24881875083;http://lod.opentransportdata.swiss/didok/8516176
KK;Kölliken;2014-01-01;640;750.0;SBB;;47.3372920119, 8.0264455205;http://lod.opentransportdata.swiss/didok/8502101
KWL;Kesswil;2014-01-01;260;270.0;SBB;;47.5954978156, 9.31740544782;http://lod.opentransportdata.swiss/didok/8506123
