PLZ To	PLZ Name	Count	percent	cups_pday	cups_pday_segment
1217	Meyrin	59.285714285714285	0.0003379533868629782	161	50-200
1218	Le Grand-Saconnex	125.0	0.0007125523216990504	339	50-200
1219	Vernier	48.07142857142857	0.000274027264287692	130	1-50
1220	Vernier	14.142857142857142	8.062020554080685e-05	38	1-50
1222	Collonge-Bellerive	5.285714285714286	3.013078388898842e-05	14	1-50
1223	Cologny	8.571428571428571	4.886073063079203e-05	23	1-50
1224	Chêne-Bougeries	16.285714285714285	9.283538819850485e-05	44	1-50
1227	Carouge (GE) Genève	90.07142857142857	0.0005134448443785729	244	50-200
1228	Plan-les-Ouates	14.428571428571429	8.224889656183325e-05	39	1-50
1231	Chêne-Bougeries	6.642857142857143	3.786706623886383e-05	18	1-50
1232	Confignon	7.071428571428571	4.0310102770403426e-05	19	1-50
1233	Bernex	11.0	6.270460430951644e-05	30	1-50
1234	Veyrier	6.071428571428571	3.4609684196811024e-05	16	1-50
1237	Avully	10.785714285714286	6.148308604374664e-05	29	1-50
1239	Collex-Bossy	8.428571428571429	4.8046385120278835e-05	23	1-50
1242	Satigny	19.428571428571427	0.00011075098942979527	53	1-50
1256	Troinex	1.7857142857142858	1.0179318881415007e-05	5	1-50
1260	Nyon	94.78571428571429	0.0005403182462255085	257	50-200
1262	Eysins	5.785714285714286	3.298099317578462e-05	16	1-50
1263	Crassier	4.357142857142857	2.4837538070652615e-05	12	1-50
1264	Saint-Cergue	2.2857142857142856	1.3029528168211207e-05	6	1-50
1266	Duillier	5.0	2.8502092867962018e-05	14	1-50
1267	Coinsins Vich	2.4285714285714284	1.3843873678724408e-05	7	1-50
1268	Begnins Burtigny	3.642857142857143	2.0765810518086612e-05	10	1-50
1269	Bassins	1.8571428571428572	1.0586491636671606e-05	5	1-50
1270	Trélex	3.5714285714285716	2.0358637762830015e-05	10	1-50
1271	Givrins	1.5714285714285714	8.957800615645206e-06	4	1-50
1272	Genolier	5.785714285714286	3.298099317578462e-05	16	1-50
1273	Arzier-Le Muids	1.9285714285714286	1.0993664391928207e-05	5	1-50
1274	Grens Signy-Avenex	4.071428571428571	2.3208847049626213e-05	11	1-50
1276	Gingins	2.642857142857143	1.506539194449421e-05	7	1-50
1277	Arnex-sur-Nyon Borex	2.857142857142857	1.6286910210264012e-05	8	1-50
1278	La Rippe	2.5714285714285716	1.4658219189237611e-05	7	1-50
1279	Bogis-Bossey Chavannes-de-Bogis	8.285714285714286	4.723203960976563e-05	22	1-50
1281	Russin	7.928571428571429	4.5196175833482634e-05	21	1-50
1283	Dardagny	7.642857142857143	4.356748481245623e-05	21	1-50
1284	Chancy	12.785714285714286	7.288392319093146e-05	35	1-50
1288	Aire-la-Ville	2.642857142857143	1.506539194449421e-05	7	1-50
1290	Chavannes-des-Bois Versoix	24.285714285714285	0.0001384387367872441	66	1-50
1291	Commugny	6.571428571428571	3.7459893483607225e-05	18	1-50
1292	Pregny-Chambésy	34.714285714285715	0.00019788595905470774	94	1-50
1293	Bellevue	24.928571428571427	0.0001421032915845535	68	1-50
1294	Genthod	3.7142857142857144	2.1172983273343213e-05	10	1-50
1295	Mies Tannay	18.428571428571427	0.00010505057085620286	50	1-50
1296	Coppet	9.357142857142858	5.333963093861464e-05	25	1-50
1297	Founex	7.5	4.275313930194303e-05	20	1-50
1298	Céligny	3.357142857142857	1.9137119497060213e-05	9	1-50
1299	Crans-près-Céligny	11.071428571428571	6.311177706477304e-05	30	1-50
1302	Vufflens-la-Ville	4.142857142857143	2.3616019804882817e-05	11	1-50
1303	Penthaz	2.7142857142857144	1.547256469975081e-05	7	1-50
1304	Cossonay Dizy Senarclens	1.6428571428571428	9.364973370901806e-06	4	1-50
1305	Penthalaz	4.285714285714286	2.4430365315396015e-05	12	1-50
1306	Daillens	1.7142857142857142	9.772146126158405e-06	5	1-50
1315	La Sarraz	2.4285714285714284	1.3843873678724408e-05	7	1-50
1337	Vallorbe	11.714285714285714	6.677633186208244e-05	32	1-50
1338	Ballaigues	3.142857142857143	1.791560123129041e-05	9	1-50
1345	Le Lieu	7.571428571428571	4.316031205719963e-05	21	1-50
1347	Le Chenit	2.2857142857142856	1.3029528168211207e-05	6	1-50
